arribos,salidas,demandas,potencias
5.65,8.454444444,9.8265,0.650728571
5.65,9.047222222,17.102,0.9349
5.666666667,8.590277778,10.519,0.6682
5.666666667,7.474722222,8.6898,0.892571429
5.683333333,7.5,10.524,1
5.7,5.853888889,0.32801,0.395842857
5.716666667,8.201666667,9.2238,0.689328571
5.716666667,7.513888889,6.4078,0.662142857
5.733333333,6.169166667,2.3436,0.998614286
5.733333333,9.7625,16.986,0.782914286
5.733333333,6.891666667,2.0679,0.331542857
5.75,12.23666667,38.309,1
5.75,8.698888889,10.973,0.691042857
5.766666667,6.962222222,2.3039,0.357885714
5.783333333,7.1875,8.1958,1
5.783333333,7.504166667,4.8016,0.518185714
5.783333333,9.814166667,16.82,0.774957143
5.783333333,7.783055556,10.842,1
5.8,8.35,12.687,0.923985714
5.8,8.280833333,9.1909,0.688028571
5.8,8.440277778,6.981,0.491028571
5.816666667,7.865277778,5.6344,0.510785714
5.816666667,10.71694444,29.888,1
5.816666667,7.130555556,3.7674,0.532514286
5.816666667,9.429166667,14.15,0.727457143
5.833333333,9.668333333,14.672,0.710485714
5.833333333,7.4875,4.0999,0.4603
5.85,7.723611111,10.564,1
5.85,6.390833333,2.6861,0.922357143
5.866666667,9.504166667,13.822,0.705685714
5.866666667,8.832222222,9.4828,0.593842857
5.883333333,7.088611111,2.3961,0.3692
5.883333333,8.565277778,8.5577,0.592585714
5.9,6.848333333,1.6817,0.329328571
5.9,9.905833333,14.27,0.661571429
5.916666667,9.454444444,14.473,0.759757143
5.916666667,9.211111111,12.929,0.728842857
5.916666667,6.815277778,4.8242,0.997014286
5.983333333,8.413611111,8.1717,0.624457143
6.033333333,7.601388889,8.9881,1
6.033333333,9.350277778,14.99,0.839271429
6.033333333,9.254166667,10.608,0.611685714
6.033333333,10.29194444,26.642,1
6.033333333,7.5,2.8764,0.364214286
6.033333333,8.764166667,7.0136,0.476971429
6.033333333,10.06416667,12.203,0.562228571
6.05,10.51527778,15.625,0.649857143
6.05,8.844444444,17.479,1
6.05,10.81555556,14.46,0.563514286
6.05,7.791666667,5.4157,0.577471429
6.05,8.644722222,8.8275,0.631814286
6.083333333,9.193333333,11.486,0.685885714
6.116666667,9.026944444,10.896,0.6953
6.133333333,9.091944444,9.8153,0.616114286
6.15,9.791944444,21.259,1
6.15,7.631666667,4.5027,0.564371429
6.166666667,6.387222222,0.65187,0.548885714
6.233333333,10.08055556,16.724,0.807285714
6.233333333,9.273888889,10.426,0.636785714
6.266666667,7.986111111,5.0967,0.550485714
6.266666667,8.804166667,15.952,1
